Título,Año,Género,Rating (pro),Votos,Categoría_Rating
Hayattan Korkma,2008.0,Drama,5.8,465.0,Medio
Throwback Today,2017.0,Sci-Fi,6.3,25.0,Medio
Crying?,2003.0,"Comedy,Drama,Romance",4.9,112.0,Bajo
Randy's Canvas,2018.0,"Comedy,Drama,Romance",6.5,101.0,Medio
Daddy's Got Girls and Guns,2025.0,"Action,Comedy,Drama",7.6,51.0,Alto
Hope Lives in Hohenwald,2022.0,Documentary,9.7,9.0,Alto
Idemili,2014.0,Adventure,9.3,12.0,Alto
In Akharin Safar,2008.0,,5.0,11.0,Medio
The Revisionaries,2012.0,"Documentary,History,News",7.0,703.0,Alto
The Sonata,2018.0,"Horror,Music,Mystery",5.3,1849.0,Medio
Vakantna zhizn shef-povara,2016.0,,6.7,32.0,Medio
Filmworker,2017.0,"Biography,Documentary",7.4,3780.0,Alto
Natural,2002.0,,6.3,8.0,Medio
How Saba Kept Singing,2023.0,Documentary,8.0,35.0,Alto
Guardian of the Light,2019.0,Drama,7.5,98.0,Alto
Map of Salvation,2015.0,Documentary,6.9,87.0,Medio
A Season in France,2017.0,Drama,6.3,665.0,Medio
Up in Smoke,2005.0,Drama,7.4,16.0,Alto
Iron Fire: Lost Gains,2016.0,"Documentary,Sport",5.8,6.0,Medio
Built to Kill,2020.0,Horror,3.5,140.0,Bajo
Doomsday County,2010.0,Horror,4.6,93.0,Bajo
1/11,2014.0,Drama,6.4,8.0,Medio
Dovbush,2023.0,"Action,Adventure,Drama",7.3,2755.0,Alto
That Gal... Who Was in That Thing: That Guy 2,2015.0,Documentary,7.3,555.0,Alto
Mountain Devil 2,2022.0,Documentary,3.6,40.0,Bajo
Nancy Drew and the Hidden Staircase,2019.0,"Comedy,Crime,Drama",5.7,5825.0,Medio
The Spaceman,2024.0,Sci-Fi,2.4,22.0,Bajo
Analog,2023.0,"Drama,Romance",6.6,229.0,Medio
The Warrior,2001.0,"Adventure,Drama",6.6,2897.0,Medio
Something Better,2003.0,"Comedy,Drama",7.2,18.0,Alto
Agniya,2024.0,Drama,5.6,56.0,Medio
Saving Flora,2018.0,"Drama,Family",5.8,1265.0,Medio
The Rock Prophet: Link Wray,2025.0,"Documentary,Music",6.7,53.0,Medio
Brindis Mortal,2023.0,Thriller,5.8,27.0,Medio
Gosto Se Discute,2017.0,"Comedy,Drama",5.0,270.0,Medio
Baapya,2026.0,"Drama,Family",8.6,2137.0,Alto
Wake Up Morocco,2006.0,Drama,5.9,18.0,Medio
The Japon,2019.0,Comedy,3.6,1088.0,Bajo
CHoisir à vingt ans,2017.0,"Documentary,History,War",6.6,17.0,Medio
500 Miles North,2014.0,Drama,8.3,44.0,Alto
Normalnyy tolko ya,2021.0,Drama,5.9,152.0,Medio
Bekas,2012.0,"Adventure,Drama",7.5,6413.0,Alto
Megh Bristir Molat,2019.0,Drama,6.0,14.0,Medio
E-Tim tai nae,2008.0,"Comedy,Drama,Romance",5.9,78.0,Medio
Thieves Like Us,2009.0,"Action,Comedy,Romance",6.6,27.0,Medio
Nowhere Street,2006.0,"Crime,Drama",3.2,18.0,Bajo
Lambasingi,2024.0,Drama,6.2,57.0,Medio
Life in One Chord,2025.0,Documentary,8.2,24.0,Alto
Pelt,2010.0,"Comedy,Horror",3.6,603.0,Bajo
Encantados,2014.0,"Drama,Romance",7.1,59.0,Alto
A Second Chance,2012.0,"Comedy,Drama,Romance",8.9,130.0,Alto
Sergeant Pepper,2004.0,Family,5.2,167.0,Medio
Cactus,2020.0,Drama,7.5,13.0,Alto
The Ash Lad: In the Hall of the Mountain King,2017.0,"Adventure,Family,Fantasy",6.2,4888.0,Medio
Amor xtremo,2006.0,"Action,Adventure,Drama",4.6,111.0,Bajo
"I will speak, I will speak!",2018.0,Documentary,8.0,10.0,Alto
"Blue, Painful and Brittle",2020.0,"Adventure,Drama",6.2,282.0,Medio
Striker,2010.0,"Action,Crime,Drama",6.9,1103.0,Medio
Chad's Dental Nightmare,2017.0,Horror,5.8,16.0,Medio
Extreme Force,2001.0,Action,3.8,153.0,Bajo
Besh Korechi Prem Korechi,2015.0,"Action,Romance",4.8,456.0,Bajo
Vintage Erotica Anno 1920,2006.0,Drama,6.4,9.0,Medio
Monster Summer,2024.0,"Adventure,Fantasy,Horror",5.7,7745.0,Medio
The Laws of Eternity,2006.0,Animation,5.6,77.0,Medio
Hauntsville,2016.0,"Horror,Thriller",5.7,22.0,Medio
Sneakerella,2022.0,"Comedy,Family,Musical",5.0,2172.0,Medio
Vad Balaton,2018.0,,8.1,30.0,Alto
We Were Young,2015.0,"Comedy,Drama",5.6,426.0,Medio
Bluff Master,2018.0,"Crime,Thriller",6.4,535.0,Medio
Marco Polo: The China Mystery Revealed,2004.0,"Drama,History",7.2,332.0,Alto
Ode to Cologne: A Rock 'N' Roll Film,2002.0,"Documentary,Music",5.4,161.0,Medio
Ensaio Sobre o Fracasso,2020.0,,6.6,10.0,Medio
Chiudi gli occhi,2006.0,,4.2,8.0,Bajo
Our Burden Is Light,2000.0,"Drama,Romance",4.1,155.0,Bajo
Anth the End,2022.0,"Mystery,Thriller",6.0,1085.0,Medio
Garasi,2006.0,"Drama,Music,Romance",5.7,107.0,Medio
The House on Sweet and Seventh,2020.0,Documentary,5.3,156.0,Medio
Village of Death: Oradour-sur-Glane 1944,2024.0,"Documentary,History,War",7.9,24.0,Alto
She Unfolds by Day,2008.0,Drama,3.3,50.0,Bajo
Hvit Nigger,2011.0,Documentary,5.9,19.0,Medio
Secret Pleasures,2002.0,"Drama,Romance",4.2,483.0,Bajo
The Girl in the White Coat,2011.0,Drama,7.1,15.0,Alto
Europe in 8 Bits,2013.0,Documentary,6.9,134.0,Medio
Chop Chop,2001.0,Comedy,5.9,1315.0,Medio
Idiot Girls and School Ghost 2: Teaching Practice,2025.0,Horror,6.6,11.0,Medio
Charlie and Hannah's Grand Night Out,2017.0,Comedy,6.0,182.0,Medio
Antervyathaa,2020.0,Drama,4.3,12.0,Bajo
The House,2007.0,Horror,5.4,350.0,Medio
Majhi Prarthana,2025.0,Drama,9.4,551.0,Alto
Flight Over The Water,2020.0,Sport,5.6,15.0,Medio
LA Underground,2012.0,"Comedy,Romance,Sport",9.0,18.0,Alto
American Revolutionary: The Evolution of Grace Lee Boggs,2013.0,"Biography,Documentary",7.7,148.0,Alto
Dan pod suncem,2001.0,Documentary,7.6,23.0,Alto
The Peace Particle,2025.0,Documentary,7.7,12.0,Alto
Minecraft: Apocalipse Zumbi 2,2014.0,"Action,Drama,Horror",8.1,12.0,Alto
Guns N' Roses: Appetite for Destruction,2005.0,Music,5.8,9.0,Medio
Jack and Jill 3,2023.0,Horror,2.5,230.0,Bajo
The Flip Side,2001.0,"Comedy,Drama",6.3,42.0,Medio
Mein ganz gewöhnliches Leben,2005.0,Drama,7.6,12.0,Alto
Ajeeb Daastaans,2021.0,"Drama,Romance",6.7,7228.0,Medio
Pyatnitsa. 12,2009.0,"Comedy,Thriller",6.1,96.0,Medio
Wo ist mein Safe Space,2022.0,Documentary,7.4,7.0,Alto
Drishyam,2015.0,"Crime,Drama,Mystery",8.2,109401.0,Alto
Noites de Reis,2012.0,Drama,5.8,16.0,Medio
Nick Elliott: The Story So Far,2023.0,Documentary,5.2,253.0,Medio
Wake Me Up,2018.0,Drama,6.1,46.0,Medio
Survivors,2015.0,"Drama,Horror,Thriller",3.9,200.0,Bajo
Giuliano Montaldo: Quattro volte vent'anni,2012.0,Documentary,8.2,11.0,Alto
Malditas & Condenadas,2017.0,"Comedy,Fantasy,Horror",4.6,21.0,Bajo
The Legacy of a Whitetail Deer Hunter,2018.0,"Comedy,Drama",5.5,4479.0,Medio
A Match Made at Christmas,2021.0,"Comedy,Drama,Romance",5.3,931.0,Medio
Fuori Mira,2014.0,Drama,6.2,21.0,Medio
A Working Mom,2006.0,Documentary,6.2,21.0,Medio
Righteous Villains,2020.0,"Crime,Thriller",3.3,3457.0,Bajo
Courted,2015.0,"Comedy,Crime,Drama",6.5,2538.0,Medio
Cosmic Psychos: Blokes You Can Trust,2013.0,"Documentary,Music",7.9,177.0,Alto
The Area,2018.0,Documentary,7.2,16.0,Alto
Abby Sen,2015.0,"Comedy,Drama,Sci-Fi",5.9,409.0,Medio
Rattlesnake,2019.0,"Drama,Horror,Mystery",4.7,10117.0,Bajo
Song of the Soul,2022.0,Drama,5.7,11.0,Medio
Secret Seduction,2020.0,Drama,3.9,13.0,Bajo
Sasquatch 1: It Begins; the Curse of the Were-squatch,2018.0,Horror,7.2,12.0,Alto
The Missing Ingredient: What Is the Recipe for Success?,2015.0,Documentary,7.7,29.0,Alto
Diego Star,2013.0,Drama,6.7,209.0,Medio
Herederos de la bestia,2016.0,"Documentary,Horror",6.4,89.0,Medio
Earth at Risk: Building a Resistance Movement to Save the Planet,2011.0,Documentary,7.4,15.0,Alto
Take It,2000.0,Horror,4.2,22.0,Bajo
Hot Milk,2025.0,Drama,5.6,3801.0,Medio
As a Man,2001.0,"Drama,Romance",6.8,157.0,Medio
Sometimes I Think About Dying,2023.0,"Comedy,Drama,Romance",6.6,8015.0,Medio
Born Killers,2005.0,"Crime,Drama",5.3,882.0,Medio
Untold,2014.0,"Biography,Drama",6.5,51.0,Medio
Altar,2016.0,Horror,3.7,505.0,Bajo
Ami Shubhash Bolchi,2011.0,Drama,7.0,248.0,Alto
Deseta zapoved,2003.0,Crime,7.2,13.0,Alto
Kamisama wa Bali ni iru,2014.0,Comedy,5.8,95.0,Medio
From the Shadows,2022.0,Documentary,7.3,11.0,Alto
Paragraph 78,2007.0,"Action,Sci-Fi,Thriller",4.9,2286.0,Bajo
Anak Mami Kembali,2005.0,"Comedy,Family,Romance",5.4,80.0,Medio
Rangoon,2017.0,"Action,Crime,Drama",7.0,778.0,Alto
"Sorry, We're Dead",2024.0,"Comedy,Drama",8.7,44.0,Alto
Pitkä vaihto,2014.0,"Documentary,Sport",7.1,57.0,Alto
Texas Death Trippin Ax-Tended Cut,2020.0,Horror,3.4,28.0,Bajo
Medvezhya okhota,2007.0,"Action,Crime",5.1,41.0,Medio
The Citizen,2016.0,Drama,7.1,903.0,Alto
Telepathic Letters,2024.0,"Biography,Drama",4.4,51.0,Bajo
The Body,2001.0,"Drama,Mystery,Romance",5.4,8676.0,Medio
Cora,2024.0,Mystery,7.2,28.0,Alto
Super High Me,2007.0,"Comedy,Documentary",6.0,13234.0,Medio
Progression,2014.0,"Comedy,Romance",8.5,41.0,Alto
Smiling Georgia,2023.0,Documentary,7.3,61.0,Alto
El hombre que vivió con miedo,2025.0,Documentary,7.4,7.0,Alto
Rubbers,2010.0,"Drama,Romance",7.0,24.0,Alto
Exchange,2016.0,Comedy,9.0,14.0,Alto
Alif,2017.0,Drama,6.3,165.0,Medio
As Certain as Death,2023.0,Horror,2.8,217.0,Bajo
My Experience,2017.0,Drama,7.0,10.0,Alto
Burma's Open Road: An Insight Into Myanymar,2007.0,Documentary,7.3,13.0,Alto
The Guilt Trip,2012.0,"Comedy,Drama",5.8,41678.0,Medio
Jajantaram Mamantaram,2003.0,"Action,Adventure,Comedy",6.1,3166.0,Medio
April,2025.0,,6.9,10.0,Medio
Marin Blue,2009.0,"Drama,Music,Romance",6.5,316.0,Medio
Butterfly Rising,2011.0,Drama,6.8,30.0,Medio
The Wedding Diary 2,2013.0,"Comedy,Romance",6.3,39.0,Medio
Tug,2010.0,"Comedy,Romance",6.7,85.0,Medio
Inside Peace,2014.0,"Crime,Documentary,Drama",8.8,43.0,Alto
Breathing Room,2008.0,"Horror,Mystery,Thriller",4.3,3780.0,Bajo
Born Strong,2017.0,"Documentary,Sport",7.1,1533.0,Alto
Chasing Valentine,2015.0,"Drama,Thriller",4.4,238.0,Bajo
Bagheera,2023.0,"Drama,Thriller",3.4,621.0,Bajo
One Night in Taipei,2015.0,"Comedy,Romance",3.8,121.0,Bajo
Moy papa - vozhd,2022.0,"Adventure,Comedy,Family",3.7,139.0,Bajo
The Sleeper,2025.0,"Action,Drama,Thriller",5.3,2582.0,Medio
The Art of Moto,2013.0,"Action,Documentary,Sport",8.1,10.0,Alto
Penny Land,2019.0,"Comedy,Drama",4.8,12.0,Bajo
GOW - Ghost of Wuhan,2022.0,Drama,8.8,25.0,Alto
Superluna,2023.0,Drama,5.8,21.0,Medio
Ken San,2016.0,"Biography,Documentary,Drama",7.2,30.0,Alto
Vegas Baby,2016.0,Documentary,6.3,136.0,Medio
One Week,2008.0,"Adventure,Drama",7.0,12310.0,Alto
Superfast!,2015.0,"Action,Comedy,Crime",4.2,12029.0,Bajo
The Stone Raft,2002.0,"Drama,Fantasy",5.8,681.0,Medio
A Última Banda de Rock,2024.0,"Documentary,Music",7.4,15.0,Alto
Happy Wedding,2018.0,Drama,4.5,156.0,Bajo
The Hip Hop Project,2006.0,"Documentary,Music",5.9,286.0,Medio
A Lone Scalpel,2010.0,Drama,6.8,115.0,Medio
J'irai où tu iras,2019.0,"Comedy,Drama",5.4,588.0,Medio
Fragmentos de Lucía,2016.0,Drama,8.1,98.0,Alto
Viking: Blood Lust,2023.0,Action,2.2,361.0,Bajo
Movie: Marrying the Mafia 3 - Family Hustle,2006.0,"Comedy,Crime,Drama",5.0,320.0,Medio
Balance and Movement,2005.0,Drama,3.8,1202.0,Bajo
The Dowry,2025.0,Comedy,3.5,6.0,Bajo
Dragon Heart: Adventures Beyond This World,2025.0,"Adventure,Animation,Fantasy",4.9,39.0,Bajo
China Dream,2020.0,Documentary,7.3,7.0,Alto
Night Cruising,2019.0,Documentary,6.7,9.0,Medio
Night,2013.0,Drama,5.5,120.0,Medio
Cut,2014.0,"Drama,Thriller",6.7,9.0,Medio
Boys,2011.0,Drama,7.2,13.0,Alto
Hotel Blu Kaien,2012.0,Drama,6.0,80.0,Medio
Breadcrumbs,2016.0,Drama,6.5,123.0,Medio
These Are My Hours,2018.0,Documentary,7.2,28.0,Alto
Vendo ou Alugo,2013.0,Comedy,5.2,260.0,Medio
The Steed,2019.0,"Action,Adventure,Family",7.4,202.0,Alto
Mujhse Shaadi Karogi,2004.0,"Comedy,Romance",6.7,18891.0,Medio
Bánk bán,2002.0,"Drama,Music",4.9,177.0,Bajo
Hard Boiled Sweets,2012.0,"Crime,Thriller",4.8,881.0,Bajo
I Got Life!,2017.0,"Comedy,Drama",6.4,1458.0,Medio
Viva,2026.0,"Comedy,Drama,Romance",5.0,27.0,Medio
Hope & a Little Sugar,2006.0,Drama,7.0,55.0,Alto
Grand Prix Zandvoort Story,2015.0,Documentary,7.1,20.0,Alto
The Surface of Things,2017.0,Drama,5.2,30.0,Medio
The Next Door Neighbor,2010.0,"Horror,Thriller",6.2,32.0,Medio
Gangster Party,2002.0,"Crime,Drama",5.0,57.0,Medio
Los Hermanos/the Brothers,2020.0,"Documentary,Music",7.8,35.0,Alto
N-Capace,2014.0,"Documentary,Drama",5.9,97.0,Medio
Southern Shaolin and the Fierce Buddha Warriors,2021.0,"Action,Adventure",5.7,47.0,Medio
American Autumn: an Occudoc,2012.0,"Crime,Documentary,News",7.4,32.0,Alto
Mr & Mrs Sailaja Krishna Murthy,2004.0,Family,6.2,66.0,Medio
Modern Comforts,2000.0,Drama,7.5,31.0,Alto
Pencil Knife Baton,2019.0,"Comedy,Drama",5.0,9.0,Medio
Dalaw,2010.0,"Drama,Horror,Thriller",5.2,136.0,Medio
Aatli Batmi Futlii,2025.0,,8.9,1109.0,Alto
Swarna Kaduva,2016.0,Comedy,5.1,291.0,Medio
36-24-36,2024.0,Romance,5.9,271.0,Medio
Garuda,2004.0,"Action,Fantasy",4.2,448.0,Bajo
In from the Side,2022.0,"Drama,Romance,Sport",6.7,9226.0,Medio
Through the Walls of the Heart,2002.0,Documentary,7.7,10.0,Alto
9 Days in Raqqa,2020.0,Documentary,6.6,62.0,Medio
Linko,2014.0,"Adventure,Drama,Sci-Fi",5.4,29.0,Medio
Words of Advice: William S. Burroughs on the Road,2007.0,Documentary,7.6,22.0,Alto
Vorvik,2005.0,Drama,5.0,88.0,Medio
The Edge,2019.0,"Documentary,Sport",7.6,952.0,Alto
Kings of Indiana,2019.0,"Action,Documentary,Sport",8.9,30.0,Alto
Jhatka Jaroori Hai,2021.0,Comedy,7.6,28.0,Alto
Trillberry Murders,2024.0,Horror,5.3,22.0,Medio
Cool Cat vs Dirty Dog: The Virus Wars,2023.0,"Comedy,Family",2.7,145.0,Bajo
High Strung Free Dance,2018.0,"Music,Romance",6.8,2472.0,Medio
Ninette,2005.0,Comedy,5.5,795.0,Medio
The Girl in Yellow,2024.0,Horror,8.2,15.0,Alto
Earthlings: Ugly Bags of Mostly Water,2004.0,Documentary,7.1,34.0,Alto
This Day Forward,2018.0,Family,8.8,76.0,Alto
In Darkness We Live,2014.0,"Drama,Horror,Mystery",2.4,10.0,Bajo
Shingle 1944,2017.0,Documentary,8.0,14.0,Alto
Wine,2010.0,"Comedy,Drama,Romance",6.9,15.0,Medio
Jajo's Secret,2009.0,Documentary,9.1,20.0,Alto
Sanam Teri Kasam,2009.0,"Action,Drama,Romance",4.1,202.0,Bajo
Psycho Gothic Lolita,2010.0,"Action,Horror",5.4,1085.0,Medio
Texas Trap,2015.0,Action,6.4,16.0,Medio
The Residents,2010.0,Drama,5.4,16.0,Medio
Onkel Danny - Portræt af en karma cowboy,2002.0,Documentary,5.9,171.0,Medio
Zoolander,2001.0,Comedy,6.5,317586.0,Medio
Pickpocket,2022.0,"Crime,Drama,Thriller",6.8,15.0,Medio
The Vessel,2025.0,Horror,4.9,22.0,Bajo
The Carrot Cake Conversations,2008.0,Drama,8.1,15.0,Alto
Rolling,2013.0,"Comedy,Drama",7.2,48.0,Alto
Hustawka,2010.0,Drama,5.4,227.0,Medio
Instant Orgasms! Her Body Learns to Convulse in Ecstasy. Karen Kaede. I Never Knew What a Real Orgasm Felt Like Until Now...,2019.0,"Adult,Romance",9.3,9.0,Alto
Illicit Content,2025.0,Thriller,5.1,24.0,Medio
Sametová kocovina,2000.0,Documentary,5.9,21.0,Medio
Kubrick by Kubrick,2020.0,Documentary,7.1,3156.0,Alto
The Robbers,2009.0,"Action,Comedy",5.5,265.0,Medio
Fahrenheit 11/9,2018.0,Documentary,7.2,21561.0,Alto
The Monsters Without,2021.0,"Adventure,Fantasy,Sci-Fi",4.8,37.0,Bajo
Chhodo Kal Ki Baatein,2012.0,"Comedy,Drama,Family",7.4,169.0,Alto
